scientific_name,is_invasive,ph_source,inat_taxon_id,growth_rate_Rapid
Stipa perplexa,0,genus_inferred,,False
Stipa pinetorum,0,genus_inferred,,False
Stipa richardsonii,0,genus_inferred,,False
Stipa scribneri,0,genus_inferred,,False
Stipa splendens,0,genus_inferred,,False
Stipa stillmanii,0,genus_inferred,,False
Stipa thurberiana,0,species_exact,,False
Stipa caduca,0,genus_inferred,,False
Achyranthes aspera,1,global_baseline,157960.0,False
Aconitum xbicolor,0,genus_inferred,,False
Aconitum anthora,0,species_exact,,False
Aconitum carmichaelii,0,genus_inferred,,False
Aconitum columbianum,0,species_exact,60522.0,False
Aconitum columbianum subsp. columbianum,0,species_exact,,False
Aconitum delphiniifolium,0,genus_inferred,48491.0,False
Aconitum delphiniifolium subsp. delphiniifolium,0,genus_inferred,,False
Aconitum ferox,0,genus_inferred,,False
Aconitum fischeri,0,genus_inferred,,False
Aconitum lycoctonum,0,species_exact,57453.0,False
Aconitum maximum,0,genus_inferred,157979.0,False
Aconitum napellus,0,species_exact,131201.0,False
Aconitum noveboracense,0,genus_inferred,157981.0,False
Aconitum uncinatum,0,genus_inferred,119812.0,False
Aconitum uncinatum subsp. uncinatum,0,genus_inferred,,False
Aconitum variegatum,0,species_exact,53629.0,False
Acorus calamus,0,species_exact,82306.0,False
Actaea spicata,0,species_exact,133005.0,False
Adiantum capillus veneris,0,species_exact,,False
Adoxa moschatellina,0,species_exact,55790.0,False
Aegilops bicornis,0,species_exact,,False
Aegilops triuncialis,1,species_exact,60272.0,False
Aegilops ventricosa,0,species_exact,,False
Aeluropus littoralis,0,species_exact,,False
Aerva javanica,1,global_baseline,196994.0,False
Aesculus arnoldiana,0,genus_inferred,,False
Aesculus xbushii,0,genus_inferred,,False
Aesculus xhybrida,0,genus_inferred,,False
Aesculus xmarylandica,0,genus_inferred,,False
Aesculus xmutabilis,0,genus_inferred,,False
Aesculus xneglecta,0,genus_inferred,,False
Aesculus × worlitzensis,0,genus_inferred,,False
Aesculus dupontii,0,genus_inferred,,False
Aesculus californica,0,species_exact,53348.0,False
Aesculus flava,0,species_exact,116362.0,False
Aesculus glabra,0,species_exact,67790.0,True
Aesculus glabra var. glabra,0,species_exact,,True
Aesculus hippocastanum,0,species_exact,84298.0,False
Aesculus pavia,0,species_exact,81708.0,False
Aesculus turbinata,0,genus_inferred,,False
Aethusa cynapium,0,species_exact,158043.0,False
Agastache parvifolia,0,species_exact,75295.0,False
Agave xajoensis,0,genus_inferred,,False
Agave xarizonica,0,genus_inferred,,False
Agave americana,1,species_exact,64103.0,False
Agave americana ssp americana var americana,0,species_exact,,False
Agave americana ssp americana var expansa,0,species_exact,,False
Agave atrovirens,0,genus_inferred,,False
Agave attenuata,0,genus_inferred,209357.0,False
Agave chrysantha,0,genus_inferred,158087.0,False
Agave cupreata,0,genus_inferred,,False
Agave delamateri,0,genus_inferred,158089.0,False
Agave deserti,0,genus_inferred,75296.0,False
Agave deserti subsp. deserti,0,genus_inferred,,False
Agave deserti var. simplex,0,genus_inferred,,False
Agave desmettiana,0,genus_inferred,,False
Agave fourcroydes,0,genus_inferred,,False
Agave gracilipes,0,genus_inferred,158092.0,False
Agave minor,0,genus_inferred,,False
Agave missionum,0,genus_inferred,,False
Agave murpheyi,0,genus_inferred,158095.0,False
Agave palmeri,0,genus_inferred,158098.0,False
Agave parryi,0,genus_inferred,119302.0,False
Agave parviflora,0,genus_inferred,158099.0,False
Agave rigida var. rigida,0,genus_inferred,,False
Agave schottii,0,genus_inferred,158102.0,False
Agave shawii,0,genus_inferred,75297.0,False
Agave sisalana,1,genus_inferred,158103.0,False
Agave tequilana,0,genus_inferred,,False
Agave toumeyana,0,genus_inferred,158104.0,False
Agave mckelveyana,0,genus_inferred,158094.0,False
Agave xylonacantha,0,genus_inferred,,False
Ageratina adenophora,1,species_exact,64114.0,False
Ageratum houstonianum,1,global_baseline,120944.0,False
Agoseris montana,0,genus_inferred,,False
Agoseris apargioides,0,genus_inferred,58801.0,False
Agoseris apargioides var. apargioides,0,genus_inferred,,False
Agoseris hirsuta,0,genus_inferred,61169.0,False
Agoseris aurantiaca,0,species_exact,75302.0,True
Agoseris aurantiaca var. aurantiaca,0,species_exact,,True
Agoseris glauca,0,species_exact,75303.0,True
Agoseris glauca var. glauca,0,species_exact,,True
Agoseris parviflora,0,genus_inferred,75305.0,False
Agoseris monticola,0,genus_inferred,75304.0,False
Agoseris grandiflora,0,species_exact,52828.0,False
Agoseris plebeja,0,genus_inferred,,False
Agoseris heterophylla,0,genus_inferred,56856.0,False
Agoseris heterophylla var. heterophylla,0,genus_inferred,,False
Agoseris retrorsa,0,genus_inferred,57908.0,False
Agrimonia gryposepala,0,species_exact,75307.0,False
Agrimonia microcarpa,0,genus_inferred,158124.0,False
Agrimonia repens,0,genus_inferred,158126.0,False
Agrimonia parviflora,0,species_exact,55895.0,True
Agrimonia rostellata,0,species_exact,158127.0,False
Agrimonia striata,0,species_exact,75308.0,False
Agropyron hybrid,0,genus_inferred,,False
Agropyron cristatum,1,species_exact,75309.0,False
Agropyron cristatum subsp. cristatum,0,species_exact,,False
Agropyron cristatum ssp pectinatum var imbricatum,0,species_exact,,False
Agropyron fragile subsp. mongolicum,0,species_exact,,True
Agropyron mongolicum,0,genus_inferred,,False
Agrostemma githago,0,species_exact,75310.0,False
Agrostis aequivalvis,0,genus_inferred,,False
Agrostis anadyrensis,0,genus_inferred,,False
Agrostis blasdalei,0,genus_inferred,75311.0,False
Agrostis breviculmis,0,genus_inferred,,False
Agrostis castellana,0,species_exact,181671.0,False
Agrostis clavata,0,genus_inferred,158133.0,False
Agrostis curtisii,0,species_exact,,False
Agrostis gigantea,0,species_exact,75314.0,True
Agrostis hallii,0,genus_inferred,57155.0,False
Agrostis thurberiana,0,genus_inferred,,False
Agrostis lacuna vernalis,0,genus_inferred,,False
Agrostis mertensii,0,species_exact,158138.0,False
Agrostis nebulosa,0,species_exact,,False
Agrostis oregonensis,0,genus_inferred,75318.0,False
Agrostis pallens,0,species_exact,52692.0,False
Agrostis perennans,0,species_exact,143405.0,False
Agrostis variabilis,0,genus_inferred,75320.0,False
Agrostis vinealis subsp. vinealis,0,genus_inferred,,False
Ajuga chamaepitys,0,species_exact,59259.0,False
Albizia lebbeck,1,global_baseline,60832.0,False
Alchemilla alpina,0,species_exact,85441.0,False
Alchemilla filicaulis,0,species_exact,158145.0,False
Alchemilla glabra,0,species_exact,158146.0,False
Alchemilla monticola,0,species_exact,158149.0,False
Alchemilla vulgaris,0,genus_inferred,56054.0,False
Alchemilla sericata,0,genus_inferred,,False
Alchemilla venosa,0,genus_inferred,,False
Alchemilla wichurae,0,genus_inferred,,False
Alchemilla acutidens,0,species_exact,,False
Aldrovanda vesiculosa,0,species_exact,123278.0,False
Aleurites moluccanus,0,species_exact,,False
Aleurites moluccana,0,species_exact,,False
Alisma gramineum,0,species_exact,75333.0,False
Alisma lanceolatum,0,species_exact,71065.0,False
Alisma plantago aquatica,0,species_exact,,False
Alisma subcordatum,0,species_exact,130756.0,False
Alisma plantago aquatica ssp subcordatum,0,species_exact,,False
Alisma triviale,0,genus_inferred,61167.0,False
Alisma plantago aquatica ssp brevipes,0,species_exact,,False
Alkanna tinctoria,0,species_exact,210414.0,False
Alliaria petiolata,1,species_exact,56061.0,False
Allium acuminatum,0,species_exact,59782.0,True
Allium aflatunense,0,genus_inferred,,False
Allium ampeloprasum var. ampeloprasum,0,genus_inferred,,False
Allium ascalonicum,0,genus_inferred,,False
Allium bisceptrum,0,genus_inferred,75338.0,False
Allium bolanderi,0,genus_inferred,59783.0,False
Allium tricoccum var. burdickii,0,genus_inferred,,False
Allium burlewii,0,genus_inferred,75339.0,False
Allium campanulatum,0,genus_inferred,75340.0,False
Allium canadense var. canadense,0,genus_inferred,,False
Allium canadense var. ecristatum,0,genus_inferred,,False
Allium fraseri,0,genus_inferred,,False
Allium canadense var. hyacinthoides,0,genus_inferred,,False
Allium canadense var. lavandulare,0,genus_inferred,,False
Allium canadense var. mobilense,0,genus_inferred,,False
Allium carinatum,0,species_exact,244034.0,False
Allium cepa var. cepa,0,genus_inferred,,False
Allium columbianum,0,genus_inferred,158170.0,False
Allium constrictum,0,genus_inferred,158171.0,False
Allium crispum,0,genus_inferred,58351.0,False
Allium cuthbertii,0,genus_inferred,158173.0,False
Allium fimbriatum var. denticulatum,0,genus_inferred,,False
Allium douglasii,0,species_exact,158175.0,True
Allium drummondii,0,genus_inferred,128731.0,False
Allium fimbriatum var. fimbriatum,0,genus_inferred,,False
Allium fimbriatum var. mohavense,0,genus_inferred,,False
Allium fimbriatum var. purdyi,0,genus_inferred,,False
Allium fistulosum,0,species_exact,126225.0,False
Allium geyeri,0,genus_inferred,148938.0,False
Allium rhizomatum,0,genus_inferred,,False
Allium gooddingii,0,genus_inferred,158179.0,False
Allium hoffmanii,0,genus_inferred,75345.0,False
Allium macropetalum,0,genus_inferred,148939.0,False
Allium macrum,0,genus_inferred,158181.0,False
Allium madidum,0,genus_inferred,158182.0,False
Allium monticola,0,genus_inferred,75351.0,False
Allium munzii,0,genus_inferred,75352.0,False
Allium nevadense,0,genus_inferred,75353.0,False
Allium nevii,0,genus_inferred,158183.0,False
Allium obtusum,0,genus_inferred,75354.0,False
Allium parishii,0,genus_inferred,75356.0,False
Allium parvum,0,genus_inferred,75358.0,False
Allium passeyi,0,genus_inferred,158186.0,False
Allium platycaule,0,genus_inferred,75359.0,False
Allium praecox,0,genus_inferred,75360.0,False
Allium robinsonii,0,genus_inferred,158191.0,False
Allium runyonii,0,genus_inferred,158192.0,False
Allium sanbornii,0,genus_inferred,75362.0,False
Allium sativum,0,species_exact,75363.0,False
Allium scorodoprasum,0,species_exact,158194.0,False
Allium serra,0,genus_inferred,59784.0,False
Allium sharsmithiae,0,genus_inferred,75364.0,False
Allium shevockii,0,genus_inferred,75365.0,False
Allium simillimum,0,genus_inferred,158195.0,False
Allium siskiyouense,0,genus_inferred,75366.0,False
Allium speculae,0,genus_inferred,158196.0,False
Allium stellatum,0,genus_inferred,119790.0,False
Allium tolmiei var. persimile,0,species_exact,,True
Allium tolmiei var. tolmiei,0,species_exact,,True
Allium tribracteatum,0,genus_inferred,75368.0,False
Allium tuolumnense,0,genus_inferred,75369.0,False
Allium unifolium,0,genus_inferred,59781.0,False
Allium ursinum,0,species_exact,56152.0,False
Allium validum,0,species_exact,75370.0,False
Allium yosemitense,0,genus_inferred,75372.0,False
Alnus xfallacina,0,genus_inferred,,False
Alnus cordata,0,species_exact,75376.0,False
Alnus incana,0,species_exact,75377.0,True
Alnus purpusii,0,genus_inferred,,False
Alnus japonica,0,genus_inferred,,False
Alnus maritima,0,species_exact,158200.0,False
Alnus nepalensis,0,genus_inferred,158201.0,False
Alnus oblongifolia,0,genus_inferred,158202.0,False
Alnus pendula,0,genus_inferred,,False
Alnus hultenii,0,genus_inferred,,False
Alnus alnobetula,0,species_exact,,False
Alopecurus xhaussknechtianus,0,genus_inferred,,False
Alopecurus aequalis,0,species_exact,75381.0,False
Alopecurus aequalis var. aequalis,0,species_exact,,False
Alopecurus dasyanthus,0,genus_inferred,,False
Alopecurus geniculatus var. geniculatus,0,species_exact,,False
Alopecurus myosuroides,1,species_exact,75383.0,False
Alopecurus rendlei,0,species_exact,158211.0,False
Alopecurus saccatus,0,genus_inferred,58364.0,False
Alternanthera caracasana,0,species_exact,75385.0,False
Alternanthera philoxeroides,1,species_exact,75386.0,True
Alyssum alyssoides,1,global_baseline,75388.0,False
Alyssum desertorum,1,global_baseline,75389.0,False
Amaranthus xtexensis,0,genus_inferred,,False
Amaranthus bigelovii,0,genus_inferred,,False
Amaranthus graecizans,0,species_exact,,False
Amaranthus californicus,0,species_exact,58775.0,False
Amaranthus caudatus,0,species_exact,75392.0,False
Amaranthus crispus,0,genus_inferred,158246.0,False
Amaranthus cruentus,0,species_exact,52328.0,True
Amaranthus greggii,0,genus_inferred,158247.0,False
Amaranthus hybridus hypochondriacus,0,genus_inferred,,False
Amaranthus viscidulus,0,genus_inferred,,False
Amaranthus scleropoides,0,genus_inferred,158254.0,False
Amaranthus spinosus,1,genus_inferred,62917.0,False
Amaranthus tamaulipensis,0,genus_inferred,,False
Amaranthus thunbergii,0,genus_inferred,158255.0,False
Amaranthus torreyi,0,genus_inferred,75399.0,False
Amaranthus wrightii,0,genus_inferred,158257.0,False
Ambrosia dumosa,0,species_exact,75408.0,True
Ambrosia psilostachya,1,species_exact,60129.0,False
Ambrosia tenuifolia,0,species_exact,158270.0,False
Ambrosia trifida,1,species_exact,53034.0,False
Amelanchier xintermedia,0,genus_inferred,,False
Amelanchier xneglecta,0,genus_inferred,,False
Amelanchier xquinti martii,0,genus_inferred,,False
Amelanchier alnifolia,0,species_exact,75415.0,False
Amelanchier alnifolia var. alnifolia,0,species_exact,,False
Amelanchier alnifolia var. semiintegrifolia,0,species_exact,,False
Amelanchier arborea,0,species_exact,49226.0,False
Amelanchier asiatica,0,genus_inferred,,False
Amelanchier bartramiana,0,genus_inferred,155002.0,False
Amelanchier canadensis,0,species_exact,133382.0,False
Amelanchier laevis,0,species_exact,54814.0,False
Amelanchier obovalis,0,species_exact,158276.0,False
Amelanchier pallida,0,genus_inferred,158277.0,False
Amelanchier sanguinea,0,species_exact,158278.0,False
Ammi majus,0,species_exact,75417.0,False
Amorpha glabra,0,species_exact,158289.0,False
Ampelodesmos mauritanicus,0,species_exact,,False
Amsinckia lycopsoides,0,species_exact,58048.0,False
Amsinckia menziesii,1,global_baseline,55436.0,False
Lysimachia arvensis,0,species_exact,,False
Lysimachia minima,0,species_exact,204353.0,False
Lysimachia pumila,0,genus_inferred,,False
Lysimachia tenella,0,species_exact,,False
Ananas comosus,0,species_exact,122965.0,False
Anaphalis margaritacea,0,species_exact,52833.0,True
Anchusa procera,0,species_exact,,False
Andropogon brachystachyus,0,genus_inferred,,False
Andropogon floridanus,0,genus_inferred,,False
Andropogon gayanus,1,genus_inferred,208518.0,False
Andropogon gerardii,0,species_exact,,False
Andropogon glomeratus,0,species_exact,,False
Andropogon glomeratus var. glomeratus,0,species_exact,,False
Andropogon liebmannii,0,genus_inferred,,False
Andropogon virginicus var. virginicus,0,species_exact,,False
Androsace lehmanniana,0,genus_inferred,,False
Androsace filiformis,0,genus_inferred,75434.0,False
Androsace maxima,0,species_exact,158357.0,False
Androsace septentrionalis subsp. glandulosa,0,genus_inferred,,False
Androsace septentrionalis subsp. septentrionalis,0,genus_inferred,,False
Anemone decapetala,0,genus_inferred,,False
Anemone drummondii subsp. drummondii,0,genus_inferred,,False
Anemone multiceps,0,genus_inferred,,False
Anemone multifida,0,species_exact,75442.0,True
Anemone multifida var. multifida,0,species_exact,,True
Anemone narcissiflora subsp. alaskana,0,genus_inferred,,False
Anemone quinquefolia var. quinquefolia,0,genus_inferred,,False
Anemone virginiana,0,genus_inferred,126369.0,False
Anemone virginiana var. virginiana,0,genus_inferred,,False
Anemopsis californica,0,species_exact,60241.0,False
Angelica archangelica,0,species_exact,62336.0,False
Angelica sylvestris,0,species_exact,158380.0,False
Anisacanthus thurberi,0,species_exact,158387.0,False
Antennaria alpina,0,genus_inferred,154163.0,False
Antennaria boecheriana,0,genus_inferred,,False
Antennaria canescens,0,genus_inferred,,False
Antennaria porsildii,0,genus_inferred,,False
Antennaria anaphaloides,0,species_exact,158406.0,False
Antennaria arcuata,0,genus_inferred,158407.0,False
Antennaria argentea,0,species_exact,75458.0,False
Antennaria aromatica,0,genus_inferred,158408.0,False
Antennaria caucasica,0,genus_inferred,,False
Antennaria corymbosa,0,species_exact,75459.0,False
Antennaria densifolia,0,genus_inferred,158409.0,False
Antennaria dimorpha,0,species_exact,75460.0,False
Antennaria dioica,0,species_exact,51893.0,False
Antennaria flagellaris,0,genus_inferred,75461.0,False
Antennaria friesiana,0,genus_inferred,158411.0,False
Antennaria geyeri,0,genus_inferred,75462.0,False
Antennaria howellii,0,species_exact,75463.0,False
Antennaria lanata,0,genus_inferred,143679.0,False
Antennaria marginata,0,genus_inferred,75465.0,False
Antennaria media,0,genus_inferred,75466.0,False
Antennaria parvifolia,0,genus_inferred,158414.0,False
Antennaria friesiana var. megacephala,0,genus_inferred,,False
Antennaria parlinii,0,genus_inferred,158413.0,False
Antennaria rhodanthus,0,genus_inferred,,False
Antennaria petiolata,0,genus_inferred,,False
Antennaria pulchella,0,genus_inferred,75468.0,False
Antennaria pulcherrima,0,genus_inferred,158415.0,False
Antennaria racemosa,0,genus_inferred,75469.0,False
Antennaria rosea,0,genus_inferred,53096.0,False
Antennaria umbrinella,0,genus_inferred,75471.0,False
Antennaria rosulata,0,genus_inferred,158416.0,False
Antennaria bakeri,0,genus_inferred,,False
Antennaria soliceps,0,genus_inferred,158417.0,False
Antennaria solitaria,0,genus_inferred,119819.0,False
Antennaria stenophylla,0,genus_inferred,158418.0,False
Antennaria suffrutescens,0,genus_inferred,75470.0,False
Antennaria virginica,0,genus_inferred,158419.0,False
Cota altissima,0,species_exact,,False
Anthemis secundiramea,0,species_exact,158424.0,False
Cota tinctoria,0,species_exact,76456.0,False
Anthoxanthum odoratum,1,species_exact,75475.0,False
Anthriscus caucalis,1,species_exact,52846.0,False
Anthriscus cerefolium,0,species_exact,158434.0,False
Anthyllis cytisoides,0,species_exact,,False
Anthyllis lotoides,0,genus_inferred,,False
Anthyllis vulneraria,0,species_exact,82685.0,False
Anthyllis vulneraria subsp. maritima,0,genus_inferred,,False
Antirrhinum majus,0,species_exact,48969.0,False
Apera spica venti,0,species_exact,,False
Apios americana,0,species_exact,119817.0,True
Apium graveolens,0,species_exact,58788.0,False
Apocynum cannabinum,0,species_exact,58795.0,False
Aponogeton distachyos,0,species_exact,75490.0,False
Aquilegia barnebyi,0,genus_inferred,158458.0,False
Aquilegia brevistyla,0,genus_inferred,158459.0,False
Aquilegia canadensis,0,genus_inferred,49868.0,False
Aquilegia chrysantha,0,genus_inferred,121784.0,False
Aquilegia coerulea,0,genus_inferred,,False
Aquilegia caerulea,0,species_exact,,False
Aquilegia coerulea var. coerulea,0,species_exact,,False
Aquilegia desolatica,0,genus_inferred,,False
Aquilegia elegantula,0,genus_inferred,158462.0,False
Aquilegia eximia,0,genus_inferred,57230.0,False
Aquilegia flavescens,0,genus_inferred,158463.0,False
Aquilegia flavescens var. miniata,0,genus_inferred,,False
Aquilegia laramiensis,0,genus_inferred,158466.0,False
Aquilegia longissima,0,genus_inferred,158467.0,False
Aquilegia micrantha,0,genus_inferred,149001.0,False
Aquilegia pubescens,0,genus_inferred,75492.0,False
Aquilegia scopulorum,0,genus_inferred,126747.0,False
Aquilegia vulgaris,0,species_exact,51807.0,False
Arabidopsis thaliana,0,species_exact,55021.0,False
Boechera divaricarpa,0,species_exact,75788.0,True
Arabis aculeolata,0,genus_inferred,158471.0,False
Arabis alpina,0,genus_inferred,158472.0,False
Arabis alpina var. glabrata,0,genus_inferred,,False
Arabis caucasica,0,species_exact,158480.0,False
Arabis blepharophylla,0,genus_inferred,60983.0,False
Arabis crucisetosa,0,genus_inferred,158484.0,False
Arabis brachycarpa,0,genus_inferred,,False
Boechera stricta,0,species_exact,75824.0,False
Arabis eschscholtziana,0,genus_inferred,75494.0,False
Arabis georgiana,0,genus_inferred,158495.0,False
Turritis glabra,0,species_exact,79460.0,False
Arabis hirsuta var. hirsuta,0,genus_inferred,,False
Arabis pycnocarpa,0,genus_inferred,75498.0,False
Boechera holboellii,0,species_exact,64064.0,False
Arabis rhodanthus,0,genus_inferred,,False
Arabis macdonaldiana,0,genus_inferred,,False
Arabis modesta,0,genus_inferred,75496.0,False
Arabis nuttallii,0,genus_inferred,158517.0,False
Arabis oregana,0,genus_inferred,75497.0,False
Arabis patens,0,genus_inferred,158521.0,False
Arabis procurrens,0,genus_inferred,158529.0,False
Arachis hypogaea,1,global_baseline,63205.0,False
Arachis pintoi,1,global_baseline,327712.0,False
Aralia cordata,0,species_exact,119830.0,False
Aralia spinosa,0,species_exact,82813.0,False
Araucaria heterophylla,0,species_exact,127890.0,True
Arbutus arizonica,0,species_exact,158551.0,False
Arbutus menziesii,0,species_exact,51046.0,False
Arbutus unedo,1,species_exact,82689.0,False
Arctagrostis latifolia subsp. latifolia,0,species_exact,,False
Arctium lappa,0,species_exact,75501.0,False
Arctium minus,0,species_exact,59570.0,False
Arctium tomentosum,0,species_exact,124815.0,False
Arctium nemorosum,0,species_exact,,False
Arctophila fulva,0,species_exact,158579.0,False
Arctostaphylos uva ursi ssp coloradensis,0,species_exact,,False
Arctostaphylos xhelleri,0,genus_inferred,,False
Arctostaphylos xjepsonii,0,genus_inferred,,False
Arctostaphylos xlaxiflora,0,genus_inferred,,False
Arctostaphylos xmedia,0,genus_inferred,,False
Arctostaphylos xparvifolia,0,genus_inferred,,False
Arctostaphylos xrepens,0,genus_inferred,,False
Arctostaphylos andersonii,0,genus_inferred,71123.0,False
Arctostaphylos auriculata,0,genus_inferred,48023.0,False
Arctostaphylos australis,0,genus_inferred,,False
Arctostaphylos bakeri,0,species_exact,75503.0,False
Arctostaphylos bakeri subsp. bakeri,0,genus_inferred,,False
Arctostaphylos bolensis,0,genus_inferred,,False
Arctostaphylos canescens,0,genus_inferred,64049.0,False
Arctostaphylos canescens subsp. canescens,0,genus_inferred,,False
Arctostaphylos catalinae,0,genus_inferred,75504.0,False
Arctostaphylos columbiana,0,species_exact,75505.0,False
Arctostaphylos confertiflora,0,genus_inferred,75506.0,False
Arctostaphylos cruzensis,0,genus_inferred,75508.0,False
